47, 34, 53, 63, 14, 6, 18, 3, 67, 35, 20, 72, 14, 19, 50
21, 26, 41, 75, 56, 70, 3, 77, 68, 39, 54, 22, 1, 58, 67
6, 90, 0, 92, 31, 26, 62, 89, 16, 66, 92, 80, 1, 16, 35
80, 25, 76, 62, 0, 59, 49, 71, 94, 99, 23, 29, 28, 86, 91
34, 5, 92, 56, 82, 85, 44, 7, 17, 73, 1, 45, 17, 59, 50
72, 83, 7, 5, 21, 89, 17, 44, 71, 64, 70, 99, 72, 26, 53
7, 28, 13, 22, 93, 51, 38, 39, 5, 27, 69, 24, 8, 59, 86
79, 95, 74, 23, 39, 91, 10, 80, 7, 51, 17, 94, 28, 82, 4
76, 14, 98, 39, 90, 15, 77, 53, 99, 12, 54, 69, 10, 52, 80
4, 32, 34, 34, 39, 3, 99, 9, 60, 4, 7, 71, 49, 88, 87
80, 62, 63, 84, 43, 76, 99, 66, 65, 83, 70, 49, 22, 81, 25
84, 40, 76, 3, 19, 67, 10, 32, 95, 59, 78, 0, 13, 25, 54
74, 38, 87, 49, 87, 69, 71, 11, 55, 0, 9, 53, 76, 43, 28
25, 57, 93, 93, 75, 87, 33, 78, 13, 47, 67, 19, 6, 12, 40
26, 12, 66, 1, 79, 89, 49, 22, 27, 11, 13, 68, 79, 94, 6
65, 88, 72, 53, 53, 54, 9, 17, 93, 70, 36, 14, 82, 81, 6
30, 79, 25, 69, 22, 57, 96, 11, 23, 93, 20, 98, 74, 66, 60
94, 41, 96, 99, 73, 64, 30, 48, 25, 7, 25, 31, 68, 13, 25
69, 64, 6, 13, 81, 41, 43, 58, 60, 76, 85, 57, 59, 80, 50
75, 28, 34, 81, 32, 56, 60, 91, 60, 46, 86, 38, 69, 24, 71
69, 80, 12, 8, 61, 27, 57, 38, 36, 32, 0, 42, 66, 50, 96
78, 62, 32, 33, 6, 87, 12, 93, 95, 33, 83, 5, 3, 48, 98
3, 32, 43, 87, 87, 52, 73, 23, 59, 32, 51, 15, 48, 60, 38
16, 8, 52, 67, 74, 83, 75, 1, 66, 26, 6, 62, 24, 99, 76
54, 8, 54, 20, 20, 56, 30, 55, 26, 42, 23, 90, 93, 28, 31
56, 28, 85, 81, 60, 4, 89, 35, 33, 8, 72, 53, 48, 29, 48
78, 45, 31, 19, 53, 34, 87, 86, 56, 6, 30, 5, 96, 96, 13
80, 91, 42, 16, 62, 18, 71, 49, 41, 98, 3, 28, 34, 91, 67
69, 20, 88, 82, 42, 60, 25, 28, 39, 31, 50, 11, 1, 6, 46
46, 49, 89, 94, 65, 83, 44, 9, 54, 61, 37, 76, 67, 14, 25
98, 94, 23, 35, 79, 93, 78, 71, 93, 95, 9, 41, 22, 80, 56
2, 47, 40, 79, 88, 3, 36, 90, 55, 48, 49, 31, 49, 50, 21
71, 29, 8, 37, 93, 71, 58, 69, 5, 76, 33, 87, 31, 41, 87
75, 18, 31, 0, 97, 60, 76, 84, 50, 37, 24, 77, 96, 29, 33
43, 72, 28, 13, 16, 52, 10, 11, 80, 88, 88, 58, 48, 42, 21
34, 19, 10, 48, 39, 20, 65, 36, 96, 93, 1, 58, 44, 76, 85
30, 93, 99, 22, 92, 19, 96, 46, 10, 2, 35, 61, 18, 80, 23
22, 7, 37, 9, 1, 95, 70, 37, 69, 22, 44, 39, 70, 60, 5
35, 43, 48, 99, 71, 91, 42, 69, 84, 1, 91, 51, 87, 26, 3
42, 23, 39, 70, 39, 52, 28, 81, 13, 84, 35, 27, 33, 62, 41
68, 2, 5, 30, 22, 5, 91, 3, 30, 81, 19, 18, 69, 9, 80
20, 32, 81, 21, 80, 52, 45, 61, 96, 95, 80, 72, 97, 33, 69
78, 86, 74, 40, 73, 27, 49, 90, 65, 98, 43, 22, 99, 90, 62
41, 42, 71, 20, 80, 19, 39, 57, 1, 35, 20, 31, 69, 94, 80
80, 20, 15, 51, 67, 53, 91, 34, 20, 31, 78, 1, 91, 93, 85
16, 34, 24, 49, 92, 62, 55, 44, 34, 19, 63, 59, 15, 67, 24
82, 81, 21, 63, 58, 14, 12, 47, 9, 81, 84, 51, 97, 36, 60
62, 42, 16, 97, 30, 56, 91, 69, 17, 87, 33, 7, 27, 20, 65
43, 22, 52, 59, 37, 50, 96, 82, 80, 58, 16, 88, 11, 49, 49
96, 37, 15, 57, 48, 46, 0, 7, 57, 55, 2, 47, 67, 66, 88
12, 12, 7, 76, 10, 96, 76, 94, 28, 23, 60, 47, 38, 36, 47
93, 42, 65, 94, 80, 48, 65, 5, 44, 81, 88, 47, 93, 72, 9
12, 70, 81, 76, 79, 32, 0, 32, 55, 81, 6, 89, 66, 3, 26
45, 76, 40, 54, 6, 41, 28, 2, 12, 88, 94, 98, 99, 28, 6
83, 77, 85, 18, 42, 38, 6, 23, 58, 59, 56, 0, 95, 49, 6
28, 93, 96, 3, 2, 49, 98, 52, 13, 76, 91, 49, 8, 7, 71
6, 40, 99, 78, 40, 1, 1, 36, 30, 88, 19, 73, 23, 83, 93
29, 86, 86, 60, 87, 91, 65, 46, 1, 18, 77, 81, 28, 48, 56
2, 96, 60, 81, 52, 64, 11, 75, 19, 84, 26, 45, 41, 44, 13
37, 9, 23, 5, 97, 98, 47, 72, 81, 16, 6, 60, 1, 47, 64
94, 38, 9, 71, 11, 72, 57, 93, 25, 44, 87, 20, 93, 74, 91
42, 22, 48, 25, 41, 12, 4, 25, 32, 74, 23, 67, 40, 58, 41
92, 29, 70, 23, 1, 19, 18, 91, 90, 49, 18, 24, 44, 73, 52
43, 48, 35, 11, 22, 84, 63, 85, 16, 63, 27, 22, 85, 42, 40
6, 50, 67, 50, 66, 56, 41, 16, 72, 69, 39, 25, 51, 73, 3
80, 29, 2, 71, 80, 19, 45, 37, 57, 75, 46, 78, 99, 86, 80
62, 16, 72, 18, 71, 68, 49, 69, 99, 25, 39, 62, 93, 48, 85
32, 100, 69, 5, 220, 50, 87, 300, 34, 64, 41, 180, 43, 200, 92
